Main Page,"43,000",
****,Special:Search,"13,000"
****,Special:Random,7900
**,-,2500
,Undefined,1800
****,Special:Watchlist,324
****,Special:Randompage,314
***,Wiki,267
***,Facebook,254
***,YouTube,233
1,United States,218
**,404.php,216
**,xHamster,205
2,Donald Trump,202
***,Wikipedia,193
****,Special:Book,185
,Portal:Current events,180
****,Special:CreateAccount,172
***,Google,161
****,Search,153
3,Barack Obama,148
****,Wikipedia:Your first article,136
4,India,129
5,World War II,126
6,Michael Jackson,123
6,Elizabeth II,123
8,United Kingdom,122
****,Special:RecentChanges,118
9,Lady Gaga,116
10,Eminem,113
11,Sex,112
12,Adolf Hitler,111
12,Game of Thrones,110
14,Cristiano Ronaldo,109
,Creative Commons Attribution,108
15,World War I,105
16,The Beatles,104
17,Justin Bieber,102
18,Canada,97
,Wsearch.php,97
***,Malware,96
19,Steve Jobs,96
20,Freddie Mercury,95
20,Kim Kardashian,95
22,The Big Bang Theory,94
,Portal:Contents,93
23,Australia,93
24,Michael Jordan,91
25,Lionel Messi,90
25,Stephen Hawking,90
27,Dwayne Johnson,89
27,Darth Vader,89
29,List of Presidents of the United States,88
29,List of highest-grossing films,87
31,Star Wars,86
31,Miley Cyrus,86
31,China,86
34,Taylor Swift,84
34,Academy Awards,84
34,Lil Wayne,84
37,Abraham Lincoln,83
37,Japan,83
37,Germany,83
40,How I Met Your Mother,81
40,Selena Gomez,81
40,Harry Potter,81
43,September 11 attack,80
43,Johnny Depp,80
43,New York City,80
43,Rihanna,80
43,Kobe Bryant,80
43,Elon Musk,80
43,Russia,80
50,Albert Einstein,79
51,The Walking Dead (TV series),78
52,LeBron James,77
52,Kanye West,77
52,Tupac Shakur,77
52,Leonardo DiCaprio,77
56,Angelina Jolie,76
56,France,76
58,Breaking Bad,74
59,Chernobyl disaster,73
60,Earth,72
60,Mila Kunis,72
60,Vietnam War,72
60,John F. Kennedy,72
64,Mark Zuckerberg,71
64,Arnold Schwarzenegger,71
64,Tom Cruise,71
64,Pablo Escobar,71
64,Scarlett Johansson,71
64,William Shakespear,71
,Wikipedia:Contact us,71
****,Talk:Main Page,71
70,Bible,70
70,Jennifer Aniston,70
70,COVID-19 pandemic[20],70
72,List of Marvel Cinematic Universe films,69
72,Bill Gates,69
72,Will Smith,69
72,Ariana Grande,69
72,Nicki Minaj,69
72,Glee (TV series),69
****,Export pages,69
78,Muhammad Ali,68
78,Katy Perry,68
78,Ted Bundy,68
78,Charles Manson,68
78,John Cena,68
84,Keanu Reeves,67
84,Queen Victoria,67
84,Singapore,67
87,Israel,66
87,Illuminati,66
87,Sexual intercourse,66
87,Bruce Lee,66
87,Elvis Presley,66
92,Marilyn Monroe,65
93,London,64
94,Adele,63
94,Doctor Who,63
94,Prince (musician),63
94,Brad Pitt,63
94,Periodic Table,63
94,Joe Biden,63
100,Heath Ledger,62
100,American Civil War,62
100,Jay-Z,62
100,David Bowie,62
